Variable_ID,Variable_Name,Table_ID,Table_Name,Unit
uk001001,Residence type: Total,uk001,Residence type,Person
uk001002,Residence type: Lives in a household,uk001,Residence type,Person
uk001003,Residence type: Lives in a communal establishment,uk001,Residence type,Person
uk002001,Marital and civil partnership status: Total,uk002,Marital and civil partnership status,Person
uk002002,Marital and civil partnership status: Never married and never registered a civil partnership,uk002,Marital and civil partnership status,Person
uk002003,Marital and civil partnership status: Married or in a registered civil partnership,uk002,Marital and civil partnership status,Person
uk002004,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership",uk002,Marital and civil partnership status,Person
uk002005,Marital and civil partnership status: Divorced or civil partnership dissolved,uk002,Marital and civil partnership status,Person
uk002006,Marital and civil partnership status: Widowed or surviving civil partnership partner,uk002,Marital and civil partnership status,Person
uk003001,Household composition: Total,uk003,Household composition,Household
uk003002,Household composition: One person household,uk003,Household composition,Household
uk003003,Household composition: One person household: Aged 66 years and over,uk003,Household composition,Household
uk003004,Household composition: One person household: Other,uk003,Household composition,Household
uk003005,Household composition: Single family household,uk003,Household composition,Household
uk003006,Household composition:  Single family household: Couple family household,uk003,Household composition,Household
uk003007,Household composition:  Single family household: Couple family household: No children,uk003,Household composition,Household
uk003008,Household composition:  Single family household: Couple family household: Dependent children,uk003,Household composition,Household
uk003009,Household composition:  Single family household: Couple family household: All children non-dependent,uk003,Household composition,Household
uk003010,Household composition: Single family household: Lone parent family,uk003,Household composition,Household
uk003011,Household composition: Single family household: Lone parent family: With dependent children,uk003,Household composition,Household
uk003012,Household composition: Single family household: Lone parent family: All children non-dependent,uk003,Household composition,Household
uk003013,Household composition: Single family household: Other single family household (including All aged 66 years and over),uk003,Household composition,Household
uk003014,Household composition: Other household types,uk003,Household composition,Household
uk004001,Country of birth: Total,uk004,Country of birth,Person
uk004002,Country of birth: Europe,uk004,Country of birth,Person
uk004003,Country of birth: Europe: United Kingdom,uk004,Country of birth,Person
uk004004,Country of birth: Europe: EU countries,uk004,Country of birth,Person
uk004005,Country of birth: Europe: Non-EU countries,uk004,Country of birth,Person
uk004006,Country of birth: Africa,uk004,Country of birth,Person
uk004007,Country of birth: Middle East and Asia,uk004,Country of birth,Person
uk004008,Country of birth: The Americas and the Caribbean,uk004,Country of birth,Person
uk004009,Country of birth: Antarctica and Oceania (including Australasia) and Other,uk004,Country of birth,Person
uk007a001,Age: Total,uk007a,Age,Person
uk007a002,Age: Aged 4 years and under,uk007a,Age,Person
uk007a003,Age: Aged 5 to 9 years,uk007a,Age,Person
uk007a004,Age: Aged 10 to 14 years,uk007a,Age,Person
uk007a005,Age: Aged 15 to 19 years,uk007a,Age,Person
uk007a006,Age: Aged 20 to 24 years,uk007a,Age,Person
uk007a007,Age: Aged 25 to 29 years,uk007a,Age,Person
uk007a008,Age: Aged 30 to 34 years,uk007a,Age,Person
uk007a009,Age: Aged 35 to 39 years,uk007a,Age,Person
uk007a010,Age: Aged 40 to 44 years,uk007a,Age,Person
uk007a011,Age: Aged 45 to 49 years,uk007a,Age,Person
uk007a012,Age: Aged 50 to 54 years,uk007a,Age,Person
uk007a013,Age: Aged 55 to 59 years,uk007a,Age,Person
uk007a014,Age: Aged 60 to 64 years,uk007a,Age,Person
uk007a015,Age: Aged 65 to 69 years,uk007a,Age,Person
uk007a016,Age: Aged 70 to 74 years,uk007a,Age,Person
uk007a017,Age: Aged 75 to 79 years,uk007a,Age,Person
uk007a018,Age: Aged 80 to 84 years,uk007a,Age,Person
